Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
87,2.5400000e+00,1.1086959e-01,9.0757573e-01,-4.4628005e-03,6.6465425e-04,-2.6486553e-03,5.2319909e-03
88,2.5400000e+00,1.1086959e-01,8.1496978e-01,-4.0066224e-03,1.5428052e-03,-6.2746750e-03,7.6029478e-03
89,2.5400000e+00,1.1086959e-01,7.2236371e-01,-4.6404474e-03,1.3226510e-03,-8.0719041e-03,9.4041899e-03
90,2.5400000e+00,1.1086959e-01,6.2975764e-01,-7.7651837e-03,-1.3417759e-03,-7.9394244e-03,1.1186281e-02
91,2.5400000e+00,1.1086959e-01,5.3715158e-01,-1.2135280e-02,-2.2767717e-03,-8.5249422e-03,1.5004111e-02
92,2.5400000e+00,1.1086959e-01,4.4454551e-01,-2.1517755e-02,2.6272051e-03,-1.0672405e-02,2.4162291e-02
93,2.5400000e+00,1.1086959e-01,3.5193944e-01,-2.5579115e-02,1.3220803e-03,-7.5585730e-03,2.6705263e-02
94,2.5400000e+00,1.1086959e-01,2.5933337e-01,-1.1184867e-02,-4.4116643e-03,-7.1096625e-03,1.3968226e-02
95,2.5400000e+00,1.1086959e-01,1.6672730e-01,1.0049324e-02,-6.0453075e-03,-1.4382232e-02,1.8557565e-02
96,2.5400000e+00,1.1086959e-01,7.4121237e-02,5.4470524e-02,2.7759559e-03,-3.8069826e-02,6.6513576e-02
97,2.5400000e+00,1.1086959e-01,-1.8484831e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
98,2.5400000e+00,1.1086959e-01,-1.1109090e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
99,2.5400000e+00,1.1086959e-01,-2.0369697e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
100,2.5400000e+00,2.0217392e-01,2.7596970e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
101,2.5400000e+00,2.0217392e-01,2.6670909e+00,4.8226083e-04,2.0689308e-03,6.5500080e-03,6.8859025e-03
102,2.5400000e+00,2.0217392e-01,2.5744848e+00,4.2103825e-04,2.0000637e-03,7.2059492e-03,7.4902093e-03
103,2.5400000e+00,2.0217392e-01,2.4818788e+00,1.0657447e-03,2.3484826e-03,5.5768001e-03,6.1442559e-03
104,2.5400000e+00,2.0217392e-01,2.3892727e+00,4.0168022e-03,2.2375281e-03,3.4982455e-03,5.7774521e-03
105,2.5400000e+00,2.0217392e-01,2.2966666e+00,3.4474568e-03,2.3203813e-03,6.1084293e-03,7.3879655e-03
106,2.5400000e+00,2.0217392e-01,2.2040606e+00,2.7261695e-03,2.2021960e-03,8.9588258e-03,9.6198870e-03
107,2.5400000e+00,2.0217392e-01,2.1114545e+00,1.4219304e-03,2.8070400e-03,1.2843195e-02,1.3223048e-02
108,2.5400000e+00,2.0217392e-01,2.0188484e+00,5.4246117e-04,2.6124117e-03,1.6214389e-02,1.6432449e-02
109,2.5400000e+00,2.0217392e-01,1.9262424e+00,-4.0743707e-04,2.3867886e-03,1.9111307e-02,1.9264081e-02
110,2.5400000e+00,2.0217392e-01,1.8336363e+00,-2.5332165e-03,2.1106140e-03,2.1815704e-02,2.2063473e-02
111,2.5400000e+00,2.0217392e-01,1.7410303e+00,-3.8076648e-03,2.1275021e-03,2.3436591e-02,2.3839010e-02
112,2.5400000e+00,2.0217392e-01,1.6484243e+00,-4.9910690e-03,1.9628180e-03,2.2451583e-02,2.3083262e-02
113,2.5400000e+00,2.0217392e-01,1.5558182e+00,-5.8766822e-03,1.0723991e-03,2.3159347e-02,2.3917375e-02
114,2.5400000e+00,2.0217392e-01,1.4632121e+00,-6.2882761e-03,1.2115240e-03,2.4464393e-02,2.5288668e-02
115,2.5400000e+00,2.0217392e-01,1.3706061e+00,-6.8810014e-03,1.0627710e-03,2.5461532e-02,2.6396351e-02
116,2.5400000e+00,2.0217392e-01,1.2780000e+00,-7.7004461e-03,3.6977729e-04,2.6796352e-02,2.7883295e-02
117,2.5400000e+00,2.0217392e-01,1.1853939e+00,-7.9950318e-03,1.6285444e-04,2.8745700e-02,2.9837264e-02
118,2.5400000e+00,2.0217392e-01,1.0927879e+00,-8.3045959e-03,-6.4177206e-05,3.0616745e-02,3.1723108e-02
119,2.5400000e+00,2.0217392e-01,1.0001818e+00,-1.0046311e-02,-1.2873206e-03,2.8493002e-02,3.0239655e-02
