Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
63,1.0538461e+00,2.8900001e+00,2.6670909e+00,-9.6184276e-02,-2.7843231e-02,7.8149763e-04,1.0013627e-01
64,1.1461538e+00,2.8900001e+00,2.6670909e+00,-1.0191010e-01,-2.7687630e-02,3.1276958e-03,1.0565063e-01
65,1.2384615e+00,2.8900001e+00,2.6670909e+00,-1.0427630e-01,-2.8937474e-02,1.0077118e-02,1.0868520e-01
66,1.3307692e+00,2.8900001e+00,2.6670909e+00,-1.0340459e-01,-3.2143373e-02,1.1152401e-02,1.0885808e-01
67,1.4230769e+00,2.8900001e+00,2.6670909e+00,-1.0163029e-01,-3.4265406e-02,1.5454657e-02,1.0835904e-01
68,1.5153846e+00,2.8900001e+00,2.6670909e+00,-9.7781003e-02,-3.7565421e-02,2.2401989e-02,1.0711738e-01
69,1.6076922e+00,2.8900001e+00,2.6670909e+00,-9.5291458e-02,-3.8893372e-02,3.0956540e-02,1.0747774e-01
70,1.6999999e+00,2.8900001e+00,2.6670909e+00,-8.5751101e-02,-3.9211087e-02,4.1214947e-02,1.0290497e-01
71,1.7923076e+00,2.8900001e+00,2.6670909e+00,-7.3104598e-02,-4.0109795e-02,4.9733769e-02,9.7090296e-02
72,1.8846153e+00,2.8900001e+00,2.6670909e+00,-6.2532760e-02,-4.4166341e-02,5.7047538e-02,9.5474780e-02
73,1.9769229e+00,2.8900001e+00,2.6670909e+00,-4.3363582e-02,-5.1203303e-02,6.0812466e-02,9.0555698e-02
74,2.0692308e+00,2.8900001e+00,2.6670909e+00,-2.4729058e-02,-6.0293578e-02,6.4950913e-02,9.2007950e-02
75,2.1615384e+00,2.8900001e+00,2.6670909e+00,-4.1787038e-03,-6.1129954e-02,6.4324550e-02,8.8836819e-02
76,2.2538462e+00,2.8900001e+00,2.6670909e+00,1.6791120e-02,-5.7856072e-02,5.3384416e-02,8.0493249e-02
77,2.3461537e+00,2.8900001e+00,2.6670909e+00,3.6640979e-02,-5.6813296e-02,5.4289177e-02,8.6704247e-02
78,2.4384615e+00,2.8900001e+00,2.6670909e+00,5.6069851e-02,-5.7802957e-02,6.3640170e-02,1.0264055e-01
79,2.5307691e+00,2.8900001e+00,2.6670909e+00,7.0639357e-02,-5.6062780e-02,5.0688110e-02,1.0345162e-01
80,2.6230769e+00,2.8900001e+00,2.6670909e+00,8.3926626e-02,-5.4087225e-02,3.7959378e-02,1.0681770e-01
81,2.7153845e+00,2.8900001e+00,2.6670909e+00,9.4679065e-02,-4.9979132e-02,2.6447341e-02,1.1027919e-01
82,2.8076923e+00,2.8900001e+00,2.6670909e+00,9.8818175e-02,-4.8407815e-02,2.0011293e-02,1.1184275e-01
83,2.8999999e+00,2.8900001e+00,2.6670909e+00,1.0301746e-01,-4.8720289e-02,1.5738100e-02,1.1503892e-01
84,2.9923077e+00,2.8900001e+00,2.6670909e+00,1.0484765e-01,-4.6169840e-02,1.2083275e-02,1.1519847e-01
85,3.0846152e+00,2.8900001e+00,2.6670909e+00,1.0535125e-01,-4.2016312e-02,8.7747183e-03,1.1375963e-01
86,3.1769230e+00,2.8900001e+00,2.6670909e+00,1.0388339e-01,-3.9689012e-02,6.0062865e-03,1.1136898e-01
87,3.2692306e+00,2.8900001e+00,2.6670909e+00,1.0036805e-01,-3.7931889e-02,5.9717665e-03,1.0746272e-01
88,3.3615384e+00,2.8900001e+00,2.6670909e+00,9.6854575e-02,-3.6057513e-02,3.3952650e-03,1.0340445e-01
89,3.4538460e+00,2.8900001e+00,2.6670909e+00,9.2532754e-02,-3.4684353e-02,1.4712915e-03,9.8830558e-02
90,3.5461538e+00,2.8900001e+00,2.6670909e+00,8.8267662e-02,-3.2061379e-02,-4.1913535e-04,9.3911067e-02
91,3.6384614e+00,2.8900001e+00,2.6670909e+00,8.3121315e-02,-3.1213362e-02,-8.5760446e-05,8.8788703e-02
92,3.7307692e+00,2.8900001e+00,2.6670909e+00,7.7358663e-02,-3.0311260e-02,-4.1938547e-04,8.3086170e-02
93,3.8230767e+00,2.8900001e+00,2.6670909e+00,7.1245030e-02,-2.9095398e-02,-1.5450787e-03,7.6972619e-02
94,3.9153843e+00,2.8900001e+00,2.6670909e+00,6.3565969e-02,-2.9804761e-02,-4.4949884e-03,7.0350274e-02
95,4.0076923e+00,2.8900001e+00,2.6670909e+00,6.0324661e-02,-3.1790655e-02,-7.7042449e-03,6.8622634e-02
96,4.0999999e+00,2.8900001e+00,2.6670909e+00,4.7143221e-02,-3.4042001e-02,-9.4162375e-03,5.8906764e-02
97,4.1923075e+00,2.8900001e+00,2.6670909e+00,3.7358835e-02,-3.4772947e-02,-1.7351924e-02,5.3906675e-02
98,4.2846150e+00,2.8900001e+00,2.6670909e+00,1.0708917e-02,-2.9622104e-02,-3.8704388e-02,4.9901698e-02
99,4.3769231e+00,2.8900001e+00,2.6670909e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
100,4.4692307e+00,2.8900001e+00,2.6670909e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
101,-5.3846151e-02,2.8900001e+00,2.5744848e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
102,3.8461536e-02,2.8900001e+00,2.5744848e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
103,1.3076922e-01,2.8900001e+00,2.5744848e+00,-6.4038923e-03,-4.0482633e-02,-2.6372062e-02,4.8737451e-02
104,2.2307691e-01,2.8900001e+00,2.5744848e+00,-2.0269524e-02,-4.0392842e-02,-1.4967531e-02,4.7607377e-02
105,3.1538460e-01,2.8900001e+00,2.5744848e+00,-3.0618984e-02,-3.5462044e-02,-1.1756896e-02,4.8304278e-02
106,4.0769228e-01,2.8900001e+00,2.5744848e+00,-3.7860818e-02,-3.0828334e-02,-8.4626544e-03,4.9552441e-02
107,4.9999997e-01,2.8900001e+00,2.5744848e+00,-4.6540465e-02,-2.6850589e-02,-9.3568042e-03,5.4539148e-02
108,5.9230769e-01,2.8900001e+00,2.5744848e+00,-5.4009683e-02,-2.4557419e-02,-3.7962834e-03,5.9451867e-02
109,6.8461537e-01,2.8900001e+00,2.5744848e+00,-5.9974752e-02,-2.2435691e-02,-4.8525231e-03,6.4217426e-02
110,7.7692306e-01,2.8900001e+00,2.5744848e+00,-6.6727780e-02,-2.1135693e-02,-6.0765543e-03,7.0258372e-02
