Iteration,Time Step,Time,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
130,13,13,0.27845,0.163375,0.0358696,0.0874688,21.195,0.211445,0.114672,0
131,14,14,0.278424,0.163272,0.0354753,0.0874688,21.195,0.207303,0.124356,0
132,14,14,0.278436,0.163264,0.0354363,0.0874688,21.195,0.206837,0.117257,0
133,14,14,0.278427,0.163278,0.0354159,0.0874688,21.195,0.204793,0.135747,0
134,14,14,0.278404,0.163286,0.0354022,0.0874688,21.195,0.204564,0.173274,0
135,14,14,0.278374,0.163292,0.0353922,0.0874688,21.195,0.204764,0.18328,0
136,14,14,0.278338,0.163293,0.0353816,0.0874688,21.195,0.205945,0.153285,0
137,14,14,0.278302,0.163293,0.0353747,0.0874688,21.195,0.204213,0.131521,0
138,14,14,0.278269,0.163294,0.0353679,0.0874688,21.195,0.202477,0.118883,0
139,14,14,0.278239,0.163296,0.0353616,0.0874688,21.195,0.20171,0.108702,0
140,14,14,0.278204,0.163456,0.0353408,0.0872399,21.195,0.201677,0.108664,0
141,15,15,0.278154,0.163336,0.0349621,0.0872399,21.195,0.198265,0.0991419,0
142,15,15,0.278152,0.163314,0.0349271,0.0872399,21.195,0.196213,0.0935512,0
143,15,15,0.278138,0.163314,0.0349084,0.0872399,21.195,0.195839,0.106429,0
144,15,15,0.278114,0.163314,0.0348946,0.0872399,21.195,0.194553,0.0996505,0
145,15,15,0.278086,0.163312,0.034884,0.0872399,21.195,0.194423,0.115172,0
146,15,15,0.278054,0.16331,0.0348751,0.0872399,21.195,0.193516,0.113757,0
147,15,15,0.278024,0.163308,0.0348673,0.0872399,21.195,0.193463,0.108881,0
148,15,15,0.277995,0.163307,0.0348603,0.0872399,21.195,0.19274,0.100873,0
149,15,15,0.277968,0.163306,0.0348541,0.0872399,21.195,0.192727,0.0943398,0
150,15,15,0.277943,0.163485,0.0348553,0.0870694,21.195,0.1927,0.0943089,0
151,16,16,0.277867,0.16336,0.0344984,0.0870694,21.195,0.188881,0.0880011,0
152,16,16,0.277858,0.163331,0.0344668,0.0870694,21.195,0.187907,0.0836771,0
153,16,16,0.277841,0.163326,0.0344494,0.0870694,21.195,0.187118,0.0926856,0
154,16,16,0.277818,0.16332,0.0344366,0.0870694,21.195,0.186487,0.103758,0
155,16,16,0.277791,0.163315,0.0344267,0.0870694,21.195,0.186001,0.0998013,0
156,16,16,0.277763,0.16331,0.0344173,0.0870694,21.195,0.185612,0.0936923,0
157,16,16,0.277735,0.163307,0.0344099,0.0870694,21.195,0.18526,0.0868677,0
158,16,16,0.277709,0.163304,0.0344036,0.0870694,21.195,0.184933,0.0836608,0
